song_id,title,artist,album,year_released,duration,tempo,loudness
112,5 Foot 1,Iggy Pop,Heroin Hates You,1990,300.77,87.68,-11.44
114,56 Days,Pride Tiger,The Lucky Ones,2007,229.22,114.06,-2.40
115,57 Chevrolet,Billie Jo Spears,Misty Blue,1990,173.69,185.58,-12.96
117,6 Yrs (Album Version ),Reach 454,Reach 454,2003,237.19,95.95,-2.76
118,666lb. Bongsession,Bongzilla,Gateway,2002,475.11,90.00,-6.50
119,6TH Avenue Nightmare,Pennywise,The Fuse,2005,159.90,200.88,-5.11
120,6th Chakra: Keynote A - Chakra Suite (Solo Electric Piano Plus Synths),Steven Halpern,Chakra Suite,2001,223.74,205.20,-20.88
122,78 Stimulator,Stimulator,Stimulator,2004,213.55,123.04,-5.28
123,8th Wonder,The Sugarhill Gang,The Greatest Hits,1981,451.03,213.62,-9.84
124,90er,Headliners,Das Album zum Film,2006,347.79,170.04,-4.28
126,A B***** Is A B***** (Edited),N.W.A.,Straight Outta Compton,1989,168.75,97.10,-8.91
127,A Baby's Born,James Ingram,Always You,1993,376.69,76.39,-11.94
128,A Boy Named Sue,Johnny Cash,The Best Of The Johnny Cash TV Show,1969,216.82,115.62,-6.02
129,A Boy Who Can't Talk Part 2,Planet P Project,Pink World,1984,74.76,117.82,-19.12
131,A Brief History of Shitty Comedy,Patton Oswalt,Feelin' Kinda Patton,2004,121.97,75.67,-13.32
135,A Burrinha,Quinteto Violado,Para Sempre,1999,136.78,134.65,-12.86
137,A Closure in Infinity,Goatwhore,Funeral Dirge for the Rotting Sun,2003,224.86,97.07,-5.56
138,A Costa De Galicia,Carlos NuA+-ez,Carlos Nunez En Concert,2002,237.87,113.16,-8.69
139,A Crow Left Of The Murder,Incubus,Live in Japan 2004,2004,227.74,88.75,-5.61
141,A Devil's Ransom (Album Version),Bury Your Dead,Bury Your Dead,2008,151.72,134.05,-5.02
143,A Disconsolate Winter Landscape,Crematorium,For All Our Sins,1963,164.44,86.63,-17.12
146,A Dustland Fairytale,The Killers,Day & Age,2008,225.12,134.73,-4.81
148,A Fall Song,Cross Country,Cross Country,2009,168.78,129.17,-11.72
149,A Fiery Stride (Ltd. Edition Bonus),Elvenking,Wyrd,2004,299.31,165.28,-5.16
155,A Goodnight's Sleep,The Starting Line,Say It Like You Mean It,2002,264.41,142.07,-5.01
157,A Hard Road,John And The Bluesbreakers Mayall,PADLOCK ON THE BLUES,1967,304.82,94.30,-6.36
158,A Higher Place (Album Version),Tom Petty,Wildflowers,1994,236.17,129.12,-4.95
159,A histA3ria do incAandio do jequitibA! de Carangola (Part 1),HA(c)lio Ziskind,O Gigante Da Floresta,1984,143.67,128.64,-15.32
162,A La Memoria Del Muerto,Fruko Y Sus Tesos,Soy Como Soy,2004,261.90,106.77,-6.21
164,A Legend In My Time,Don Gibson,Country Greats,1987,152.58,80.74,-14.28
165,A Little Bit Of This And A Little Bit Of That,Lee Ritenour / Jeff Mironov,Rio,1976,307.04,157.58,-17.34
166,A Little Louder,DJ Icey,A Little Louder / Dreams,2003,325.98,132.99,-6.71
167,A Little Louder,DJ Icey,A Little Louder,2003,356.41,135.99,-7.36
168,A Little Of You,Eurythmics,Revenge,1986,236.62,111.12,-4.21
170,A Lo Clasico,Daddy Yankee,El Cartel: The Big Boss,2007,235.15,91.03,-4.13
173,A Man Can Only Stand Just So Much Pain (Bonus Track),Tony Joe White,Tony Joe,1970,152.84,122.24,-16.83
174,A Man Holdin' On (To A Woman Lettin' Go),Ty Herndon,Big Hopes,1998,217.16,128.09,-8.81
175,A Martyr For My Love For You,The White Stripes,Icky Thump,2007,259.55,85.16,-8.69
179,A Movie Of A Placid Lake On A Moonless Night in September,Will Ackerman,The Opening Of Doors,1992,384.60,92.33,-18.89
180,A Movie Of A Placid Lake On A Moonless Night In September - Reprise,Will Ackerman,The Opening Of Doors,1992,194.19,91.60,-28.95
181,A Nadie Le Interesa Si QuedA!s AtrA!s (Total Que...),Vox Dei,Cuero Caliente,1974,197.04,154.48,-14.03
182,A New Heart,Michael Whalen,From Conception to Birth: A Life Unfolds,2004,317.70,110.10,-15.97
183,A New Hope,Blink-182,Dude Ranch,1997,225.12,200.72,-7.32
186,A Part Of Me,40 Grit,Nothing To Remember,2003,250.67,148.23,-8.95
187,A Piece Of My Heart,Gang Of Four,Hard,1983,196.49,143.61,-11.80
188,A Poor Man's Roses,Patsy Cline,Music Trends - Country Busters,1961,168.96,91.01,-5.18
192,A Rush Of Blood To The Head (Live In Sydney),Coldplay,Live 2003,2003,410.83,138.04,-8.23
193,A Sailboat In The Moonlight,Arthur Tracy,Street Singer,1993,173.90,58.69,-19.40
195,A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission),Simon & Garfunkel,The Collection,1966,138.71,181.41,-10.22
200,A Sound That Only You Can Hear,K's Choice,Paradise In Me,1995,252.84,87.50,-6.58
201,A Stepmother's Curse,Anne Dudley,The 10th Kingdom,2000,184.40,137.70,-19.00
202,A Talk With Dad,Speech,PEECHY,2003,160.94,73.11,-22.03
204,A True,Sugar Minott,George Phang: Power House Selector's Choice Vol. 2,1984,206.78,152.91,-7.65
208,A Veces Vuelvo,Catupecu Machu,El NAomero Imperfecto,2004,266.19,126.99,-4.77
209,A Visit From Drum,Liars,Drums Not Dead,2006,259.06,126.46,-8.98
213,A Whiter Shade Of Pale,Annie Lennox,Medusa,1995,316.76,145.99,-8.72
218,A!Hola_ PequeA+-o Ser!,Pescado Rabioso,Pescado Rabioso 2,1973,579.45,111.01,-12.98
219,A?DA3nde va Chichi?,Sierra Maestra,Tibiri Tabara,1997,313.13,189.65,-9.51
225,Aattelepa ite,Jope Ruonansuu,Kaikkien aikojen parhaat -45 klassikkoa - Aattelepa ite,2004,188.97,180.07,-8.06
227,Abagui Alobi,Patience Dabany,Patience Dabany,1994,369.16,124.29,-10.67
228,Abandonada / Blancas azucenas,Sierra Maestra,Criolla KarabalA,1992,295.99,141.12,-13.82
229,Abbeville Fair,Seatrain,Watch,1973,294.48,107.84,-6.11
234,Ability To Create A War,A Skylit Drive,She Watched The Sky,2007,88.87,139.24,-5.86
236,About Last Night (LP Version),Vitamin C,Vitamin C,1999,241.03,96.99,-6.30
237,Above Lucium (LP Version),Daath,The Hinderers,2006,248.82,150.16,-3.96
238,Above The Rainbow,Flora Purim,Encounter,1994,208.04,173.65,-16.44
240,Abscondence,Sun Yan-Zi,Kite,2001,285.96,100.06,-6.78
241,Absolute,The Fray,The Fray,2009,227.08,140.58,-5.43
242,Absolute Horizon,Byzantine,Oblivion Beckons,2008,300.02,198.02,-5.66
243,Abstracted,Scar Symmetry,Pitch Black Progress,2006,204.96,97.69,-3.87
250,Ace Insurance Man,Bobbie Gentry,Local Gentry,1968,214.96,170.90,-10.74
252,Acension Final Chord Rising,Terry Riley,Atlantis Nath,2002,142.42,128.14,-37.07
258,Active,Dark Party,Ghostly Swim,2008,261.59,175.95,-3.54
259,Ad Te Clamamus Exsvles Mortva Liberi,Enthroned,Pentagrammaton,2010,89.16,90.66,-20.36
262,Adelante,Isabel Pantoja,Donde El CorazA3n Me Lleve,2002,181.66,95.67,-7.62
266,Adios_ Mi Corazon,Herb Alpert And The Tijuana Brass,South Of The Border,1964,163.94,97.52,-14.96
268,Adnans,Orbital,In Sides,1999,521.56,101.99,-10.89
269,Adrift,Jack Johnson,Sleep Through The Static,2008,236.20,241.82,-15.97
273,Affaire Mokuwa,Kekele,Congo Life,2005,306.96,86.66,-5.71
274,Affliction,AFI,DECEMBERUNDERGROUND,2006,328.72,113.47,-5.71
276,Afraid,MAPtley CrA1/4e,Motley Crue / Rock Legends,1997,248.22,124.02,-5.67
278,Africa,Dusminguet,Vafalungo,1998,173.98,106.07,-9.69
279,African Typic Collection,Sam Fan Thomas,The African Typic Collection,1989,397.58,125.24,-13.86
283,After Hours,Phantom Planet,Phantom Planet,2004,164.13,113.87,-5.48
284,After I Made Love To You,BMX Bandits,Bee Stings,2007,208.40,127.43,-10.22
285,After Lovin You (Love Life Album Version),Charlie Peacock,Love Life,1991,291.21,100.86,-8.16
286,After One Quarter Of A Revolution,Every Time I Die,New Junk Aesthetic,2009,124.13,114.64,-3.99
288,After The Fire,Klaus Badelt,Rescue Dawn,2007,116.19,56.31,-27.37
292,Again,Janet Jackson,Janet,1993,227.08,129.54,-10.25
294,Again (Instrumental),Janet Jackson,Again,1993,232.20,130.23,-17.94
296,Against My Will (LP Version),Brenda Lee,Brenda Lee,1960,205.14,118.30,-12.99
297,Agenda Zwei Null Eins Null,Django AsA1/4l,Hardliner,2004,365.74,87.28,-11.88
301,Aguas Claras De Olimpos,Pescado Rabioso,Obras Cumbres Pescado Rabioso/ Invisible,1973,526.21,80.75,-13.21
302,Ahead By A Century,The Tragically Hip,90s Rock Gold,1996,225.44,84.37,-7.37
303,Ahmea,Flutlicht,Ahmea,2000,513.57,141.00,-5.96
310,Ai Jo,AI-TIEM,Musik fA1/4r taube Ohren,2003,100.70,135.80,-9.69
311,Ai Ni Bian Cheng Hen Ni,Kary Ng,With A Boy Like You,2006,209.55,110.01,-7.17
313,Ailleurs,France D' Amour,Le PrA(c)sent,1992,232.20,57.09,-7.74
315,Ain't Gone 'N' Give Up On Love,Stevie Ray Vaughan And Double Trouble,The Best Of,2005,368.64,150.58,-12.08
317,Ain't Got Nothin' But The Blues (Album Version),Robben Ford,Talk To Your Daughter,1988,278.96,91.25,-13.91
318,Ain't It Funny,Jennifer Lopez,J.Lo,2001,246.20,99.83,-4.82
319,Ain't No Game,Masta Ace Incorporated,Sittin' On Chrome,1995,295.16,88.12,-7.69
321,Ain't No Right ( LP Version ),Jane's Addiction,Ritual De Lo Habitual,1990,214.54,139.21,-10.45
322,Ain't No Sunshine,Michael Jackson,Love Songs,1972,251.66,152.45,-11.88
325,Ain't She Sweet,The Beatles / Tony Sheridan,Total 60s,1964,130.95,159.44,-7.46
327,Ain't That Something,High Strung_ The,These Are Good Times,2003,165.30,120.94,-2.69
328,Ain`t got nothing ( feat. David Banner & Eddy Soulo ),Samy Deluxe,So Deluxe So Glorious,2005,234.06,111.25,-5.91
333,Airto's Jazz Dance,Flora Purim,Perpetual Emotion,2001,246.67,137.82,-14.18
337,Al Doilea Om,Negura Bunget,OM,2006,123.66,127.72,-19.59
338,Al Final,KALIMBA,Amar y Querer (Homenaje a Las Grandes Canciones),2009,297.64,65.25,-5.99
346,Albo,Hevia,Obsession,2007,280.27,93.04,-4.94
352,Ali Baba,Jackie Edwards,The Bunny Striker Lee Story,2003,179.10,157.18,-6.54
353,Alimony,Shaggy,Original Doberman,1994,232.31,90.00,-7.75
354,Alive,Dala,Everybody is Someone,2009,240.27,121.97,-7.40
355,Aljarafe,Lole y Manuel,Aljarafe,1992,141.66,85.47,-16.47
357,All About Our Love,Sade,Lovers Rock,2000,160.63,161.99,-8.21
358,All Alone (Live),Gorillaz,Dirty Harry,2005,219.38,148.00,-7.36
362,All Burned Out,Savoy Brown,Kings of Boogie,1989,171.62,150.95,-11.21
363,All Creatures Of Our God And King,Patty Griffin,Downtown Church,2010,256.39,56.18,-14.97
364,All das mag ich,AI-TIEM,Wenn hier einer schieAt_ dann bin ich das,1993,323.32,93.98,-10.95
365,All Day,Butthole Surfers,Humpty Dumpty LSD,1987,512.18,79.71,-3.24
367,All For Nothing,Since The Flood,No Compromise,2007,117.08,189.99,-2.19
368,All For The Sake Of The Song,Roger Creager,Long Way To Mexico,2003,277.55,80.98,-9.78
369,All Hands On Deck part 2: Open Water [Album Version],Funeral For A Friend,Tales Don't Tell Themselves,2007,228.65,90.10,-3.13
370,All I Ask For (Album Version),Ill Nino,One Nation Underground,2005,219.82,91.01,-3.67
372,All I Can Do,Kane,All I Can Do,2005,220.76,89.98,-10.26
373,All I Ever,Ms. Dynamite,A Little Deeper,2002,269.82,150.57,-11.14
376,All I Want,Captain Hollywood Project,All I Want,1993,372.27,109.85,-8.26
377,All In,Joe McBride,Texas Hold'em,2005,262.77,99.99,-7.88
379,All Is One,Atman,97 | 07,1998,433.95,89.39,-7.77
382,All My Life (LP Version),Venice,Venice,1990,301.09,104.56,-8.38
384,All My Senses,Mando Diao,Hurricane Bar,2004,251.04,119.35,-5.40
385,All Night Long,Junior Kimbrough,Meet Me in the City,1999,355.68,168.81,-10.87
387,All Night Long (Instumental),Junior Kimbrough,God Knows I Tried,1998,384.57,83.71,-9.84
389,All Of This,Blink-182,blink-182,2003,280.01,117.57,-5.34
390,All Of You,Gerald Clayton,Two-Shade,2009,329.38,94.98,-16.85
391,All On Our Own,One Block Radius,One Block Radius,2008,236.72,124.02,-2.45
392,All or Nothin' Gal,Jessie Lee Miller,Now You're Gonna Be Loved,2005,116.92,188.98,-7.39
393,All Or Nothing,Chris Eaton,Wonderful World,1995,289.07,100.77,-12.96
401,All That You Need,The Brooklyn Tabernacle Choir,Praise Him...Live!,1995,257.31,115.37,-14.17
402,All That's Left,Thrice,The Artist In The Ambulance,2003,201.59,182.98,-2.87
403,All The Answers,Jesus Jones,Never Enough - The Best Of Jesus Jones,1989,227.74,110.47,-5.84
407,All The Rage (Clean Album Version),Funeral For A Friend,Hours,2005,217.50,190.12,-3.62
408,All The Things You Are,Eliane Elias,Solos And Duets,1995,201.22,176.14,-28.25
414,All Time Low (Album Version),Grey Area,Grey Area,1997,189.34,127.22,-5.73
415,All Too Human,The Flies,The Flies,2007,222.41,95.05,-11.81
416,All Your Love,John Mayall & The Bluesbreakers,Bluesbreakers With Eric Clapton - Deluxe Edition,1966,214.70,107.46,-8.44
418,Alla Fine Di Tutto Questo,Fabri Fibra,Chi Vuole Essere Fabri Fibra ?,2009,267.36,160.07,-4.41
422,Allez_ Glissez!,Quadro Nuevo,Luna Rossa,2002,215.30,188.63,-10.23
427,Alma De Metal,Bobby Pulido,El Cazador,1999,216.32,100.25,-8.88
428,Alma Mater,Moonspell,Wolfheart (re-issue + Bonus Tracks),1995,318.90,117.59,-5.26
430,Almendra,Arturo Sandoval,Best Of Arturo Sandoval,1997,271.44,139.94,-12.25
432,Almost Grown,Jesse Malin,Messed Up Here Tonight,2002,211.85,141.27,-9.42
433,Almost Us,Jim Chappell,In Search Of The Magic,1997,217.50,86.39,-23.69
435,Alone in Love,Craig Wedren,Lapland,2005,155.27,71.28,-14.98
439,Alovi,Stefon Harris,Black Action Figure,1999,326.61,131.94,-14.43
440,Alpha Beta Parking Lot,Cake,Prolonging the Magic,1998,210.08,189.62,-8.52
444,Altas Horas,Entre RAos,Onda,2005,221.31,47.96,-9.10
445,Alte Pizza,Der Plan,Perlen...,1988,153.60,119.32,-14.34
449,Always,RyanDan,RyanDan,2007,235.13,111.52,-8.57
451,Always And Never (Album Version),Silverstein,Discovering The Waterfront,2005,229.64,108.50,-2.00
453,Am I That Easy To Forget,Skeeter Davis,Queens Of Country,1995,125.78,120.69,-12.95
454,Am I That Easy To Forget,Carl Belew,Country Heartbreakers,1959,140.38,117.87,-13.34
458,Amazing,George Michael,Amazing,2004,266.94,128.41,-6.69
459,Amazing (LP Version),Point Of Grace,Steady On,1998,294.09,125.95,-6.48
462,Amazing Grace (Album Version),Dropkick Murphys,The Gang's All Here,1999,158.64,183.68,-5.23
463,Amber Changing,Rise Against,Revolutions Per Minute,2003,218.83,186.25,-3.80
464,Ambulance Man,Memphis Jug Band,The Best Of The Memphis Jug Band,2001,161.54,97.75,-15.96
471,America's Suitehearts,Fall Out Boy,Alternative Summer 2009,2008,214.33,160.11,-4.47
472,American Dream,Vixen,Vixen,1988,259.60,124.67,-14.11
473,American Dreams,Charlie Haden,American Dreams,2002,292.18,141.23,-24.22
474,American Ghost Dance (2003 Digital Remastered),Red Hot Chili Peppers,Freaky Styley,1985,231.24,111.54,-4.82
475,American Girl,Brooke Valentine,Chain Letter,2005,218.64,130.50,-5.81
477,American Lovebite,Dons,Lights On,2006,200.52,132.20,-6.57
480,Amie,Lonestar,Crazy Nights,1997,245.71,92.03,-7.79
482,Amigo mAo,Memphis La Blusera,Angelitos Culones,2001,221.65,132.02,-6.25
484,Ammonite,Zeromancer,Sinners International,2009,362.32,90.03,-6.76
485,Ammunition,The Jane Shermans,Popular Music Social Condition,2008,235.49,140.14,-6.30
487,Amor a Medias,HA-ASH,Mundos Opuestos,2005,253.91,136.95,-5.55
491,Amor De Juventud,Pedro Aznar,David Y Goliath,1995,368.35,127.28,-16.22
495,Amor Siciliano,Juan Carlos Baglietto,Corazon De Barco,1998,225.33,86.79,-11.06
496,Amores Cobardes,Andy & Lucas,Con Los Pies En La Tierra,2008,234.63,147.89,-5.34
497,Amoria,Hi-Fi Companions,Swingers In Paradise,2003,464.59,130.01,-7.82
498,Amour noir N 7,"MichA""le Bernard",Piano Voix,2008,136.99,64.96,-14.29
501,An Afternoon On the Moon (Jet Jaguar's Remix),Rhian Sheehan,Paradigm Shift,2001,200.78,99.00,-12.88
503,An Mouvman,Kassav',Se Nou Manm (Live Au Zenith),2009,268.90,147.78,-8.16
504,An Old Fashioned Christmas,Carpenters,Christmas Collection,1992,134.61,80.18,-17.00
507,Anarchy in the UK (Sex Pistols) (Bonus Track),Adrenalin O.D.,Humungousfungusamongus,1986,142.65,106.00,-5.24
510,And I Hear You Call,Amorphis,My Kantele,1997,280.97,131.19,-4.17
512,And Still I Wither,Enslavement Of Beauty,Traces O` Red,1999,313.76,145.11,-5.65
513,And The Beat Goes Om,Slackbaba,And The Beat Goes Om,2006,488.25,68.00,-7.32
517,Andra sidan,Sofia Karlsson,SAPder Om KA$?rleken,2009,172.93,152.34,-16.76
519,Anfang Vom Ende,Pyranja,Wurzeln & FlA1/4gel,2003,60.55,96.26,-9.26
520,Angel,Julio Iglesias Jr,Por La Mitad,2008,252.13,150.07,-7.23
521,Angel,Aerosmith,A Little South Of Sanity,1987,335.33,76.10,-5.76
524,Angel Band,Porter Wagoner,Country Cream Volume 1,1997,152.35,136.13,-14.76
526,Angel Food,Steve Vai,Where The Wild Things Are,2009,383.29,147.83,-12.34
534,Angry Chair,Alice In Chains,Live,1992,262.48,111.24,-5.50
537,Animal Crimes,Mad Are Sane_ The,Who?What?Why?When?Where?,1984,228.83,196.20,-9.00
540,Annie's Angle,Mando Diao,Hurricane Bar,2004,182.28,150.28,-4.80
548,Another Long One,Shawn Colvin,Steady On,1989,224.60,210.87,-13.26
549,Another Love Song,Warrior King,Hold The Faith,2005,204.38,153.98,-6.13
550,Another Lover,The Last Vegas,Whatever Gets You Off,2009,237.11,179.00,-3.49
551,Another World (Album Version),Richard Hell & The Voidoids,Blank Generation,1977,494.11,123.18,-14.01
552,Another Year,K's Choice,Live,2000,207.57,171.65,-11.62
553,Answer In The Question,MxPx,The Ever Passing Moment,2000,129.88,130.72,-3.49
555,Antarctica Starts Here,John Cale,Paris s'A(c)veille,1973,199.97,110.10,-20.17
556,Antes (Salsa Version),Obie Bermudez,Confesiones,2003,271.26,177.26,-4.56
559,Anti Geroi,Azis,BalkanBeats Volume 2,2006,281.89,98.15,-6.61
560,Antidote For The Underdog,Less Than Jake,GNV FLA,2008,147.49,120.70,-5.07
564,Any Wich Way (Freedom Must Come),Manjul,Faso Kanou,2005,226.22,155.01,-11.68
565,Anya,Marvin Hamlisch,The Spy Who Loved Me (Soundtrack),1977,201.46,76.74,-25.60
566,Anybody Seen My Girl,Keb'Mo',Keb' Mo',1994,176.59,79.15,-15.61
567,Anyday,Amil,All Money Is Legal,2000,248.50,165.97,-8.18
568,Anyone Who Had A Heart,Cal Tjader,Sounds Out Burt Bacharach,2003,200.12,118.60,-18.90
570,Anything's Better Than Feelin' The Blues,Martina McBride,Emotion,1999,181.86,40.38,-7.91
571,Anytime You Need A Friend,Mariah Carey,The Remixes,1993,652.41,121.88,-7.86
572,Anyway_ Anyhow_ Anywhere,The Who,The Kids Are Alright,1979,169.66,140.66,-8.30
573,Anywhere Anytime,Sara Melson,Dirty Mind,2008,164.13,167.91,-4.64
575,Apertura in jazz,Piero Umiliani,La legge dei gangsters,1998,234.58,42.11,-14.21
576,Aphrodite (1999 Digital Remaster),The Edgar Broughton Band,Sing Brother Sing,1970,245.45,100.80,-12.14
583,Appapas Del Calabar,Los Van Van,Llego... Van Van,1999,268.04,202.15,-5.80
585,Approach To Danger (Edited),N.W.A.,The Best Of N.W.A: The Strength Of Street Knowledge,2006,165.20,189.80,-5.03
586,AquaCityBoy,K-OS,Atlantis - Hymns for Disco.,2006,161.51,78.97,-5.10
590,Arabian Night,The Monroes,Sunday People,1983,219.61,132.37,-4.07
591,Arco Arena,Cake,Comfort Eagle,2001,91.32,157.99,-9.56
592,Are We Here ?,Orbital,Snivilisation,1994,933.64,95.32,-10.33
596,Are You Happy (Album Version),Drop Dead_ Gorgeous,In Vogue,2006,96.10,200.29,-3.97
598,Are You Putting Me On The Shelf,Don & Juan,Twirl Records Story Volume 10,1995,136.05,141.47,-9.15
600,Are You The One?,The Presets,Are You The One?,2005,281.08,132.95,-11.40
601,Are You There (With Another Girl),Burt Bacharach,Reach Out,1967,175.88,115.76,-13.04
605,Armageddon's Raid,Belphegor,Bondage Goat Zombie,2008,308.77,116.90,-2.03
610,Arnold Layne,David Gilmour Featuring Richard Wright,Arnold Layne,2006,202.19,138.43,-7.20
611,Around And Around,The Rolling Stones,12 x 5,1964,183.17,185.33,-11.55
617,Arrows Of The Gods,Elliot Goldenthal,Titus - Original Motion Picture Soundtrack,2000,91.74,177.47,-12.67
619,As Diehard As They Come (Album Version),Hatebreed,Supremacy,2006,136.96,85.77,-3.81
621,As Mist Lay Silent Beneath,Keep Of Kalessin,Agnen: A Journey Through The Dark,1999,340.43,127.59,-5.30
623,As Nice As I Can Be,Eagles Of Death Metal,Heart On (with bonus tracks),2009,225.49,144.40,-3.09
625,As The Sleeper Awakes,Soilwork,Sworn To A Great Divide,2007,258.17,113.96,-3.28
629,Ascendant,Keep Of Kalessin,Kolossus,2008,270.21,229.86,-5.96
631,AsesAname,Charly GarcAa,Rock And Roll Yo,2003,223.06,93.01,-7.38
635,Ask The Angels,The Distillers,The Distillers,2000,190.95,140.82,-4.80
637,Ass Attack (Four Tet Remix),Hot Chip,Coming On Strong,2004,181.03,126.14,-6.45
638,Assassin,Floor,Below & Beyond,2002,117.03,156.18,-7.24
639,Assassination,Dead Prez,Let's Get Free,2000,120.87,170.08,-6.72
641,Assis par terre,Pascal Sangla,Une petite pause,2010,333.77,89.98,-10.62
643,Assouf,Tinariwen,Aman Iman: Water Is Life,2007,238.68,160.89,-7.39
644,At Night,Shakedown,At Night (The Unreleased Mixes),2001,437.94,123.99,-6.04
645,At The Atlantis,Bad Brains,Black Dots,1996,118.05,135.42,-8.44
649,At The Movies (1991 Digital Remaster),Bad Brains,Rock For Light,1983,136.38,127.16,-9.23
652,Atmosphere Station,James Horner,Aliens - The Deluxe Edition,1986,191.82,90.08,-38.53
